,Date,Amount
0,2021-8-9,4500000
1,2021-8-8,11500000
2,2021-8-7,21500000
3,2021-8-4,10500000
4,2021-8-3,4000000
5,2021-7-31,25000000
6,2021-7-30,5000000
7,2021-7-29,19000000
8,2021-7-28,31000000
9,2021-7-27,63000000
10,2021-7-26,12000000
11,2021-7-25,2000000
12,2021-7-24,17000000
13,2021-7-23,31000000
14,2021-7-22,36500000
15,2021-7-21,103000000
16,2021-7-20,58000000
17,2021-7-19,16000000
18,2021-7-18,22000000
19,2021-7-17,66500000
20,2021-7-16,2387500000
21,2021-7-15,26500000
22,2021-7-14,82000000
23,2021-7-13,658000000
